Timestamp,City ,Hospital Name/ Campus (Optional),Years of Experience,"Specialty (Cardiac, ER, GI, L&D, etc)",Hourly Base Pay (Diff not included),Shift Diff Amount (if any) ,"Type Of Shift Diff (nights, Baylor, Critical Care, Etc) "
1/18/2020 7:45:13,,,7,L&D,32.55,10.5,Nights + PRN
1/18/2020 10:34:43,Denver,,3,Cardiac,29.3,4,Nights/ICU
1/18/2020 13:42:39,Longmont ,,2,Home health,40,,
1/19/2020 1:47:34,Denver,,8,Cath Lab,35.5,,
1/19/2020 9:33:57,,,,,,,
1/19/2020 15:39:10,Greeley,,1.5,Public Health,32,,
1/21/2020 0:20:17,Colorado springs,Uc health ,0,Cardiac new grad ,27,5,Nights +5 after 11 pm
1/22/2020 11:10:06,Aurora ,TMCA,,,27,4,Night
1/22/2020 15:48:31,Denver,,1,Rehab,31,5,Nights
1/22/2020 17:45:54,Denver,UCH,2,ICU,27.7,,
1/22/2020 17:46:04,Denver,UCH,2,ICU,27.7,,
1/22/2020 18:52:25,Thornton,,0,L&D,28,4,Nights
1/24/2020 11:42:00,Denver,,3,Pediatrics,33.65,4,Nights
1/24/2020 12:25:46,Glenwood Springs,Valley View Hospital,3.5,L&D,31.45,4,Nights
1/24/2020 14:11:48,Frisco,Centura,13,ER,38.3,5.75,Nights
1/24/2020 14:14:37,Frisco,Centura,13,ER,38.3,5.75,Nights
1/24/2020 15:30:32,,,7,,37.23,2,
1/24/2020 15:31:23,,,7,,37.23,2,
1/24/2020 17:21:06,Denver,University of Colorado Hospital,0.5,OR,27,,
1/24/2020 23:20:20,Louisville ,Avista Adventist ,1,L&D,30,2,Night
1/25/2020 10:41:14,Durango,Mercy ,4.5,Cardiac,33.63,,
1/29/2020 23:55:47,Greeley,North Colorado Medical Center,0.5,PCU,26.55,4,Nights 
1/29/2020 23:58:22,Denver Metro,,4,ER,33.1,2.5,"2.50/hr weekends, 2.50/hr mids (most of shift 3p-11p), 4.50/hr nights (most of shift 11p-7a)"
1/30/2020 0:24:36,Denver,UCHealth,1.5,Neuro ICU,27.74,,
1/30/2020 11:56:06,,,,,,,
1/30/2020 13:24:15,,,,,,,
2/2/2020 16:53:48,Thornton,North Suburban ,0,Med Surg,27.5,5,Nights/weekends 
2/2/2020 23:12:30,Boulder,,2,med/surg,29.08,,Days
2/2/2020 23:12:38,Boulder,,2,med/surg,29.08,,Days
2/2/2020 23:12:58,Boulder,,2,med/surg,29.08,,Days
2/3/2020 13:08:50,Longmont ,Longs Peak Hospital ,12,Med Surg/Special Care Nursery/post partum ,37,5,Nights 
2/18/2020 10:39:23,Brush,Banner Health,0.5,LDRP,28.75,3.5,Night 
2/18/2020 10:49:34,Denver,National Jewish Health,8,House Supervisor ,39.5,2,Evening and weekend 
2/18/2020 12:03:01,Aurora,,12,,36,,
2/18/2020 12:20:48,Alamosa,,2,ER,27.8,5,Midshift
2/18/2020 18:23:52,Denver,Children’s hospital colorado ,5,Pediatric surgery,35.4,2,Day
2/18/2020 20:10:13,Colorado Springs,,2,Postpartum,29.68,,
2/19/2020 13:51:54,Colorado Springs,CHCO,0,NICU,31.1,4.75,Nights
2/19/2020 17:16:20,Denver,Telehealth (work from home),6,No specialty but previous ICU experience,39,2.5,Evening
2/19/2020 18:54:16,Aurora,Children’s Hospital of Colorado ,11,L&D ,39.09,4.25,Nights
2/24/2020 1:05:13,"Westminster, CO",St. Anthony North Health Campus,10,L&D,36.48,5.75,Nights
2/24/2020 2:25:00,Englewoood,,1,ER,28.5,4,Nights
2/24/2020 2:25:08,Englewoood,,1,ER,28.5,4,Nights
2/24/2020 23:20:33,Lone Tree,Sky ridge medical center,1,Ortho,27,,Days
2/24/2020 23:26:26,Denver,,14,Infusion,39,,
2/24/2020 23:57:14,Frisco,,9,L&D,38,,
2/25/2020 0:10:47,Aurora,University of Colorado,1,Oncology clinic,27,,Days
2/25/2020 0:30:43,Loveland,,3,ER,30.5,5,Nights
2/25/2020 0:52:54,Denver,,2,ER,28.2,4,Nights
2/25/2020 7:00:07,Parker,,9,ICU,35.22,5,Nights
2/25/2020 9:26:16,Littleton,,1,L&D,31.08,5.75,Nights
2/25/2020 10:17:20,Denver,Children’s Hospital Colorado,1.4,Med Surg,32.9,4.75,Nights
2/25/2020 11:19:44,Montrose,,8,,30.6,,
2/25/2020 12:03:30,Denver ,,0.5,OR,29,,
2/25/2020 12:50:23,Colorado Springs,,3,Long term care,30.4,,
2/25/2020 13:10:08,Denver,SCL Health ,8,Talent Share Float Pool,42,,Day Shift
2/25/2020 13:13:20,Boulder,BCH,3,Oncology,28,,Day
2/25/2020 14:51:58,Denver,Centura,1,ER,28,5,Nights
2/25/2020 15:25:54,Denver,Saint Joseph hospital ,13,L&D,36,,
2/25/2020 15:26:47,Denver,Saint Joseph hospital ,13,L&D,36,,
2/25/2020 15:26:58,Denver,Saint Joseph hospital ,13,L&D,36,,
3/1/2020 10:18:07,Colorado springs,Penrose st francis,3,Med surg,29.8,3,Weekends
3/26/2020 4:47:43,Denver,Denver Springs,3,Psych,36.25,4,Nights
3/31/2020 20:59:06,Glenwood springs,,1,med surg,28,4,nights
3/31/2020 20:59:18,,,,,,,
3/31/2020 21:38:02,Pueblo,,4,Med Surg,40.75,,PRN Days
3/31/2020 22:11:50,Denver,,1,Medical telemetry,27,4,Nights
3/31/2020 22:52:43,Denver,UCHealth ,2.5,,29,6,Day
3/31/2020 22:56:45,Pueblo,Parkview Medical Center,1,Float pool med surgical,26,4,Float pool
3/31/2020 23:08:00,Denver,University of Colorado Anschutz,5,Neuro ICU,30.31,4,Nights
4/1/2020 3:49:05,Colorado Springs,,7,Critical Care,33,4,Nights
4/1/2020 3:56:13,Loveland,,2,Trauma ICU,30,5,Nights
4/1/2020 6:30:35,Greeley,Banner Health,1,Float pool ,28,7,Float and night differential 
4/1/2020 10:21:51,Denver,Children’s hospital of Colorado ,2,PICU,34.25,4.75,Nights
4/2/2020 1:31:04,Denver ,Rehab hospital ,1,Rehab,26.75,2,4
4/2/2020 1:40:34,Denver,,5,,39,,Days float 
4/2/2020 2:27:47,Denver,Hospice ,1,Outpatient ,34,,
4/5/2020 11:18:00,Boulder,Boulder Community Health,7,Multiple Areas,34,,"Evenings, nights, call pay"
4/21/2020 19:01:42,Pueblo,Parkview Medical Center,3,Progressive Care/Telemetry ,28,,Days
4/26/2020 19:46:51,Denver,Porter Adventist Hospital,2.5,Oncology ,31.07,5.75,Nights
4/26/2020 19:47:08,Denver,Porter Adventist Hospital,2.5,Oncology ,31.07,5.75,Nights
4/26/2020 20:33:41,Colorado Springs,,1,NICU,32.9,2.75,Weekends
4/26/2020 20:36:18,Fort Collins ,,8,ICU ,33,5,Night
4/26/2020 21:24:08,Denver,SCL,8,ER,42,,
4/26/2020 23:26:43,Colorado Springs,,1,NICU,32.9,2.75,Weekends
4/26/2020 23:59:38,,,,,,,
4/27/2020 0:00:02,Colorado springs,,0,ICU,27,5,Nights
4/27/2020 2:27:48,Denver,,5,ER,44.5,4,Nights/float pool
4/27/2020 4:15:34,Fort collins,,10,Nicu,32.47,5,Nights
4/27/2020 5:03:41,Englewood ,HCA-affiliated Hospital. Level 1,1,ICU,28,4,nights
4/27/2020 18:10:33,Denver,Hospice/bristol,3,Hematology oncology and hospice,34.1,,Company does not pay overtime or full holiday pay
5/10/2020 9:58:00,,,,,,,
5/14/2020 0:11:29,Castle Rock,Castle rock Adventist ,0,Med surg ,29,5.75,Nights 
5/14/2020 0:30:04,Colorado Springs ,UC Health,1,Med/surg,27,5,Night
5/14/2020 0:31:45,Denver,UCHealth,0,M/S,27,5,Nights 
5/14/2020 0:31:46,Colorado springs ,,4,Med surg ,32,,
5/14/2020 1:19:18,Boulder,Boulder community hospital,2,Ortho/Neuro,29.75,,
5/15/2020 1:19:14,Boulder,Boulder Community Health,12,ICU,43,8,Nights
5/15/2020 1:34:06,,,,,,,
5/19/2020 9:17:49,Colorado Springs,UCHEALTH- Memorial Central ,3,Intermediate Care,29.27,4,Nights 
5/23/2020 17:35:16,Sterling,,2,Medsurg,27.5,4,Night 
5/24/2020 13:28:38,Highlands Ranch,UCHealth Highlands Ranch Hospital,4,"Med-Surg, Orthopedics",31.75,2,Days/nights/weekends
5/24/2020 14:36:52,Denver,,2,Ortho/spine,27.5,4,Nights
5/25/2020 8:12:45,Broomfield ,UCHealth,14,Medsurg,41,,Days
5/25/2020 8:12:59,Broomfield ,UCHealth,14,Medsurg,41,,Days
5/25/2020 15:22:56,Buena vista ,,2,Family practice,28,1,Weekend
5/25/2020 15:33:48,Denver,ERC,5,Psych,35.7,,
5/28/2020 16:49:37,Broomfield ,UCHealth,14,Medsurg,41,,Days
6/7/2020 0:22:33,Thornton,,1,,27,,
6/8/2020 9:33:31,Denver ,,15,ER,36,,
6/20/2020 0:35:26,Loveland ,,2.5,Med/Surg,30.5,,
6/28/2020 5:25:07,Denver,,2,LTACH,32,5,Nights and weekends
7/2/2020 5:00:02,Denver,,5,ICU/Neuro Crit Care ,34.25,5,"weekends, night"
7/8/2020 21:12:20,,,,,,,
7/8/2020 21:52:45,Lafayette ,,0,Med surg,29.5,4.5,Nights
7/9/2020 0:34:36,Denver,Denver Health,14,Health Educator,30,,
7/9/2020 7:37:18,Denver,,1,Hospice,35,,
7/9/2020 9:22:14,Fort Collins,,4,ICU,29.86,5,Nights
7/10/2020 20:59:31,Thornton,SNF,12,SDC,41.5,,Day
7/25/2020 8:08:57,Denver,Presbyterian St Luke's Medical Center ,1,Medical surgical,27,4,Nights
7/26/2020 14:48:17,Colorado Springs,Children’s hospital of Colorado,1,NICU,31,4.75,Nights
7/26/2020 14:48:33,Colorado Springs,Children’s hospital of Colorado,1,NICU,31,4.75,Nights
7/26/2020 14:49:36,,,,,,,
7/27/2020 23:27:27,Grand junction ,St marys,7,L&D,29.75,,
7/29/2020 0:13:16,Grand Junction,,2.5,OR,30,,Day
8/5/2020 6:01:31,Aurora,Children’s Hospital Colorado,3.5,NICU level IV,35.03,4.75,Nights 
8/27/2020 22:42:58,Aurora,,9,Nicu,36,,"Nights, critical care, weekends "
9/3/2020 8:25:03,Del Norte,Rio Grande Hospital ,6,ER,31.93,1,Mid 0830-2100
9/14/2020 18:04:10,Denver,Kindred hospital  Aurora ,1,Med Surg,27.5,6,Days
9/14/2020 18:57:38,,,6,Interventional Radiology,33,,
9/14/2020 18:58:03,Fort Collins,Banner,1,Women Infant Services,29.02,3.5,Nights
9/14/2020 20:18:22,,,,,,,
9/14/2020 21:29:05,Lakewood,,12,Pain Management ,45.5,,Per diem
9/14/2020 21:30:02,Lakewood,,12,Pain Management ,45.5,,Per diem
9/14/2020 21:30:16,Lakewood,,12,Pain Management ,45.5,,Per diem
9/14/2020 22:35:04,Wheat Ridge ,Lutheran Medical Center,31,PACU,43,,
9/14/2020 22:50:21,Denver ,,12,ER,43.39,5,Nights 
9/14/2020 23:01:14,Denver,,0,Internal Medicine ,29.5,4.75,Nights 
9/14/2020 23:01:40,Denver,,0,Internal Medicine ,29.5,4.75,Nights 
9/14/2020 23:02:27,Denver,,0,,29.5,,
9/14/2020 23:05:43,denver,,0,internal medicine,29.5,4.75,nights
9/14/2020 23:25:00,Denver,Parker Adventist,0,,28.85,5.75,Nights
9/14/2020 23:25:20,Denver,Parker Adventist,0,,28.85,5.75,Nights
9/14/2020 23:27:55,Denver ,,0,Float,29.72,11,"Nights, float, weekend "
9/14/2020 23:43:01,,,,,,,
9/15/2020 0:47:09,Denver,University of Colorado Hospital,2,Medsurg,27.81,5,Nights
9/15/2020 2:05:52,Colorado springs,,,,,,
9/15/2020 2:06:21,Colorado springs,,,,,,
9/15/2020 2:55:44,Denver,Rose Medical Center,4.5,Float Pool (no critical care/ICU float) ,37.52,,
9/15/2020 2:58:44,Broomfield ,,0,Med surg,29,4,Night
9/15/2020 2:58:51,Broomfield ,,0,Med surg,29,4,Night
9/15/2020 7:58:54,Denver,Swedish,9,Cvicu bicu nicu ticu ,42,,Critical care float pool
9/16/2020 13:38:08,Colorado Springs,Penrose Hospital,3,Cardiac,30,2,"Nights ($2-4), weekends ($2)"
9/17/2020 20:24:05,Denver,UC Health,2,OR,33,,
9/18/2020 15:55:17,Denver,,8,Pacu,36,,Day
9/19/2020 6:51:46,Denver,UC Health,2.5,ICU,31.12,5,"nights, 2.5 weekend"
9/23/2020 23:06:45,,,,,,,
10/9/2020 7:27:58,Westminster ,St. Anthonys North ,1,Cardiac/Med Surg,30,4.5,"Nights, Evenings, Weekends"
10/9/2020 23:21:09,Denver,Childrens Hospital Colorado,0,Medical,30,4,Nights
10/22/2020 18:38:54,Denver ,Children’s hospital of colorado ,5.5,General medicine ,36.15,3,Nights 
10/25/2020 17:34:12,Louisville ,,15,ER,36,,
10/25/2020 17:50:31,Loveland,Medical center of the rockies,2,Trauma/Sugrical PCU,33.08,5,Nights
10/25/2020 18:02:56,Denver,,6,OR,32.03,,Days
10/25/2020 18:09:01,Denver ,,6,Neuro,33.5,,
10/25/2020 18:12:34,Boulder,,20,OR,43,2,Charge Nurse
10/25/2020 18:14:06,Denver,,3,ICU float pool,37.5,,Days critical care
10/25/2020 18:25:05,Colorado Springs,,7,CVICU,37,3.5,Night/weekend
10/25/2020 18:47:55,Aurora,UCH,3,L&D,31.25,5,Nights
10/25/2020 18:52:43,Aurora,University of Colorado Hospital,2,Oncology,30,,"Days, Outpatient, M-F 6:45-3:15"
10/25/2020 18:56:42,Denver,,3.5,Pediatric ,33.7,4.75,Night 
10/25/2020 19:13:42,Denver,,5,OR,42,2.5,Swing Shift
10/25/2020 19:28:06,Rifle ,Grand river health ,20,Cardiac ,47,,None 
10/25/2020 19:30:45,Englewood ,Swedish Medical Center HCA,1.5,Med-Surg / Telemetry,27.5,4,Days
10/25/2020 19:31:02,Denver,Denver health,2,Med/surg float,30.24,6.3,"Float pool, certification pay, procap pay "
10/25/2020 19:40:28,Denver,UCHEALTH Metro,5,Cardiac ICU,35,5,Nights
10/25/2020 19:50:55,Littleton,,6,ASC,40,,
10/25/2020 19:51:07,Littleton,,6,ASC,40,,
10/25/2020 20:03:15,Denver,UCHealth Anschutz,0,Neuro,27,5,"Nights, holidays "
10/25/2020 20:04:00,Steamboat Springs,Yampa Valley Medical Center,4,LDRP,32.2,6,"Nights, weekend"
10/25/2020 20:35:08,Denver,Denver Health,0,Surgical Trauma,27.52,,
10/25/2020 20:46:17,Denver ,University Colorado health ,7,ICU,31,5,Nights 
10/25/2020 20:49:17,"Aurora, Colorado ",The Medical Center of Aurora ,1,Cardiac ,27,4,Nights 
10/25/2020 21:10:48,Denver,Correctional Health Partners,6,Educator,41.4,,Days
10/25/2020 21:21:18,Denver,,4,Postpartum ,35.94,5,Nights 
10/25/2020 21:46:09,Thornton,North Suburban Medical Center,0.5,ICU,28.5,4,Night
10/25/2020 21:47:56,Aurora,,0,NICU,31.16,4.75,Nights
10/25/2020 22:46:20,Denver,Rose Medical Center,2.5,OR,27.5,,
10/25/2020 23:03:24,Denver,Denver Health,6,ED,34.2,,Days
10/25/2020 23:03:28,Boulder,Boulder Manor,3,LTC,27.5,2,Evening shift 
10/25/2020 23:17:49,Aurora ,University of Colorado Hospital,3.5,Medical Surgical,31.2,5,$2.50 (7p-11p) $5 (11p-7a) $2.50 weekends 
10/25/2020 23:18:01,Aurora ,University of Colorado Hospital,3.5,Medical Surgical,31.2,5,$2.50 (7p-11p) $5 (11p-7a) $2.50 weekends 
10/25/2020 23:24:07,Denver ,Saint Joseph,6,ER,34,,
10/25/2020 23:36:31,Castle rock ,,5,Icu,34.12,5.75,Nights
10/25/2020 23:51:05,Lakewood ,St. Anthony’s ,1,,28.85,5,Nights 
10/25/2020 23:54:06,Denver,,1,NICU ,28,4,Nights
10/26/2020 0:08:33,Fort Collins ,Poudre valley hospital,0,Med surg/oncology,27,5,Nights
10/26/2020 0:08:45,Fort Collins ,Poudre valley hospital,0,Med surg/oncology,27,5,Nights
10/26/2020 1:11:44,Aurora,Children's hospital ,,PICU,47,,
10/26/2020 2:08:24,Aurora,University of Colorado Hospital ,5,Med-Surg/Cardiac Unit,37,,
10/26/2020 4:12:10,,,5,LTC,31,,Days
10/26/2020 4:47:48,Colorado Springs,,3.5,Long term care/SNF,32,,
10/26/2020 4:49:08,,,,,,,
10/26/2020 10:43:44,Denver,Presbyterian st luke's ,2,Liver/kidney transplant,27.5,,Days
10/26/2020 13:33:41,"Burlington, CO ",Kit Carson County Memorial ,0,Med Surg/ER,24,,Nights
10/26/2020 16:39:32,Denver,,9,OR,39.64,4,OR
10/26/2020 17:26:38,Denver,Medical center of aurora south campus,2,Orthopedics,27.5,,
10/26/2020 17:50:47,,,,,,,
10/27/2020 13:17:20,Eagle,,1,LPN Corrections,23,,
10/27/2020 20:36:15,,,,,,,
10/27/2020 20:39:39,Fort Collins ,,,,,,
10/27/2020 20:40:05,,,,,,,
10/27/2020 20:41:48,Fort Collins,Associates in famliy medicine,4,,24,2,
10/27/2020 21:10:04,Greeley ,,1,ER,27.5,4,Nights
10/27/2020 21:10:41,Greeley ,,1,ER,27.5,4,Nights
10/27/2020 21:10:56,Greeley ,,1,ER,27.5,4,Nights
10/27/2020 22:12:00,Loveland,McKee Medical Center,1,Med/surg/tele,28.96,2,Weekend
10/27/2020 22:46:59,Fort Collins,PVH,1,,,,
10/28/2020 8:31:43,Loveland,,,Pediatric Home Care,28,,
10/28/2020 9:03:09,loveland,,0,,,,
10/28/2020 9:03:27,loveland,,0,,,,
10/28/2020 11:05:39,Denver,Presbyterian St. Luke’s Medical Center,0,Med Surg,27,4,Nights
10/28/2020 13:13:46,Longmont,,1,Med/Surg,28.85,4.75,Nights
10/30/2020 7:34:47,Denver ,University of Colorado Anschutz,1.5,,30,5,Night 
10/31/2020 11:05:57,Denver ,Denver Health,0,,27.54,,
10/31/2020 19:12:33,Denver ,Swedish medical center ,1,Med surg ,27,4,Nights 
11/2/2020 15:08:44,,,,,,,
11/13/2020 17:00:15,Englewood,Swedish Medical Center HCA,1.75,Med Surg Tele,27.5,4,Day
11/14/2020 10:10:24,Lakewood,,0,ICU,28.85,5.25,Night
11/18/2020 0:32:35,Pueblo,Home health,3,Case manager,,,Salary of 64k a year
11/18/2020 11:22:25,"Lafayette, Colorado",Non hospital- work for an insurance company,5,"ED, Tele, Case Management, UR",37.5,,Mon-Fri 8-5
11/18/2020 11:29:08,Boulder,Longmont United Hospital ,1,Medical-Surgical ,28.85,5.75,Nights
11/18/2020 11:59:43,Denver,University of Colorado hospital ,2,Surgical specialties ,27,2.75,Nights
11/18/2020 12:18:29,Colorado Springs,,14,ER,41,,Nights
11/18/2020 12:19:01,Colorado Springs,,14,ER,41,,Nights
11/18/2020 14:44:14,Denver,,3.5,Float Pool,41.5,4,Nights
11/18/2020 19:26:54,,,,,,,
11/18/2020 22:37:29,Colorado Springs ,Wellness Cinic,1,Clinical,38,,Weekdays 
11/18/2020 22:38:41,Woodland Park,PPRH,30,,38.25,,Days
11/18/2020 22:52:55,Pueblo,,2,Cardiac,27.03,3,
11/19/2020 3:18:05,Denver ,,5,Icu,33,4,Night 
11/19/2020 3:18:53,Denver ,,5,Icu,33,4,Night 
11/20/2020 0:29:55,Holyoke,Regent park ,7,SNF,37.13,0.5,long term 
11/21/2020 18:08:32,Denver,,10,Peds,39.87,4,Nights
11/21/2020 18:08:46,Denver,,10,Peds,39.87,4,Nights
11/21/2020 18:09:46,,,,,,,
11/26/2020 3:54:36,Englewood,Swedish Medical Center,5,Trauma ICU,36.5,4,Nights
11/28/2020 16:25:09,Greeley ,NCMC ,4.5,Pediatrics ,32.75,4,Nights 
11/28/2020 16:25:15,Greeley ,NCMC ,4.5,Pediatrics ,32.75,4,Nights 
11/28/2020 16:25:28,Greeley ,NCMC ,4.5,Pediatrics ,32.75,4,Nights 
12/11/2020 12:43:54,Grand Junction ,,3,Hospice ,36,10,Nights in patient care center
12/11/2020 12:47:40,Grand junction ,,3,Hospice ,,10,
12/29/2020 3:34:05,Denver,Uchealth ,1,Medical surgical,,,
1/9/2021 1:12:49,,,,,,,
1/10/2021 23:38:12,,,,,,,
1/10/2021 23:38:18,,,,,,,
1/10/2021 23:38:28,,,,,,,
1/10/2021 23:42:00,Denver ,Colorado Children’s ,2,,33,5,"Nights, weekends "
1/10/2021 23:44:25,Denver,,0,Med Surg,27,,Day
1/10/2021 23:48:39,Denver ,Swedish Medical Center,1.5,L&D,29.18,4,Nights
1/11/2021 0:03:16,Denver ,Denver Health ,2,ACS,29.5,,
1/11/2021 0:03:37,Denver ,Denver Health ,2,ACS,29.5,,
1/11/2021 0:07:08,Denver ,,1,,27,,
1/11/2021 0:11:26,Colorado Springs ,UCHEALTH ,1,OB ,31,,
1/11/2021 0:12:01,Colorado Springs ,UCHEALTH ,1,OB ,31,,
1/11/2021 0:25:35,Thornton,,2,Rehab,28,2,
1/11/2021 0:43:58,Littleton,Littleton Adventist Hospital ,6,Cardiac and Stroke,32.71,5.75,Nights
1/11/2021 1:13:59,Colorado Springs ,,1,Medical surgical ,28.85,,
1/11/2021 3:59:34,,,,,,,
1/11/2021 7:00:41,Fort Collins,UCHealth ,10,Oncology certified ,37.12,2,
1/11/2021 8:18:40,Denver,Centura,3,GI,32,,Days
1/11/2021 9:09:23,Lakewood,Saint Anthony’s hospital,9,ER,37.5,,Na
1/11/2021 14:26:03,Thornton,,3,Rehab,37.5,,
1/11/2021 18:59:10,Denver,,1,,35,,
1/11/2021 21:56:26,Denver,HealthOne,2,OR,31,,Day
1/13/2021 23:46:30,Denver,UCHealth,6.5,Cardiology,39,5,nights
1/16/2021 23:00:33,Denver,,5,,30,,
1/16/2021 23:00:45,Denver,,5,,30,,
1/17/2021 18:35:43,Aurora,,5,Neuro,35,5,Critical care rotating day night
1/26/2021 23:19:26,Lakewood,St Anthony's Hospital,9,ER,37.5,,
1/30/2021 20:45:31,Aurora,UC Health Anchutz,5,Geriatrics ,38.11,2.5,Evenings
