Timestamp,City ,Hospital Name/Campus,Years of Experience,"Specialty (Cardiac, ER, GI, L&D, etc)",Hourly Base Pay (Diff not included),Shift Diff Amount (if any) ,"Type Of Shift Diff (nights, Baylor, Critical Care, Etc) ","Type Of Shift Diff (nights, Baylor, Critical Care, Etc) ",Hospital Name/ Campus (Optional)
11/30/2019 8:01:01,Rochester ,,2,MI/pcu,26.35,2,Weekend overnights. I’m an lpn I work weekend contract otherwise my base would be $17.75,,University of Rochester 
11/30/2019 10:40:14,New york city,,1,L&d,48.13,3.08,Night shift,,Maimonides medical center
11/30/2019 18:09:33,Jamestown,,3,ER,26.34,1,NIGHTS,,Upmc Chautauqua 
12/1/2019 10:46:04,N Y,,0,Student BSN,0,1,0,,
12/1/2019 17:00:42,Staten Island ,,10,Case manager ,50,,,,
12/2/2019 21:06:15,Staten Island,,1,ICU,44.81,4.24,"Nights $4.24, evening $3.23. Bachelors $1.75. ",,Northwell Health SIUH
12/3/2019 9:29:33,"Rochester, NY",,5,GI,29.7,2,"Evening, nights, weekend",,Strong Memorial Hospital
12/4/2019 8:26:11,NYC,,1,PED,40,3,Nights,,HHC
12/5/2019 14:25:38,Syracuse,,1,Peds,22.95,,,,
12/6/2019 16:10:09,Westchester ,,1,Psych ,48.1,0.6,Day/evening ,,New York Presbyterian Westchester Division 
12/6/2019 18:54:56,New York City,,7,SICU,51,3,Nights,,NYP Cornell
12/11/2019 8:32:02,New York City,,3,Icu ,47,,,,Mount Sinai
12/11/2019 9:08:28,Stony Brook,,2,L&D,37,,,,Stony Brook Medicine
12/25/2019 3:28:14,Salalah,,10,ER,,,Shifting,,Salalah hospital
12/28/2019 23:09:56,Rochester,,8,ICU,39,,Management ,,URMC
12/31/2019 17:39:38,White Plains,,3,Step-down,45.38,,Days,,
1/17/2020 10:18:26,Troy,,4.5,Med/surg ,31.5,4,Nights,,
1/17/2020 10:43:45,New York,,0,Oncology,49,4.53,Days,,MSK
1/17/2020 10:44:04,New York,,0,Oncology,49,4.53,Days,,MSK
1/17/2020 12:04:19,Rochester,,10,HomeCare,35,150,Oncall nights,,Home Care/Community Health
1/17/2020 12:26:17,Islip,,0,,37.42,,Days,,
1/17/2020 12:40:53,Manhasset,,4,Cardiac surgery,47.3,3.7,Day shift cardiac surgery step down ,,NSUH
1/17/2020 14:21:16,Nyack,,2,Med-surg,38.78,2.5,Nights,,Montefiorw nyack
1/17/2020 14:30:43,New York,,8,Home Care ,45,,Day,,
1/17/2020 14:38:09,Bronx,,2,Step down,46,,Day,,Bronxcare
1/17/2020 14:39:20,Long Island,,2,Cardiac,36,,,,
1/17/2020 14:52:24,,,,,,,,,
1/17/2020 15:20:28,Brooklyn ,,0,OB,,,,,
1/17/2020 15:21:27,Syracuse ,,12,ED,37.8,,$3 for evenings / $5 for nights ,,St. Joseph’s 
1/17/2020 15:26:37,West Islip,,4,ER,42,,days,,Good Samaritan Hospital
1/17/2020 16:08:08,Staten Island,,2,Psych,45,,,,RUMC
1/17/2020 16:19:49,Bronx,,1,Emergency room ,45,,,,Jacobi
1/17/2020 16:21:55,Syracuse,,1.5,,29.8,,,,St. Joseph’s Hospital
1/17/2020 17:05:27,Rochester,,0,LPN MICU,17.5,,,,URMC
1/17/2020 17:23:22,New York,,0,Med surg ,48.05,2.88,Nights,,NYU Langone- Tisch 
1/17/2020 19:09:15,Buffalo,,3,Maternal Child,33,3,Nights,,Mercy Hospital of Buffalo 
1/17/2020 20:21:17,New York City,,6,Oncology ER,57,5.7,Weekend,,Memorial Sloan Kettering
1/17/2020 21:32:58,Nyc,,,Med surg,45,10,Night,,
1/17/2020 22:03:13,Staten Island,,3,Med/Surg,45.29,2.82,Nights,,
1/18/2020 7:35:55,Yonkers ,,0,Er,40,3,Cc,,
1/18/2020 8:43:49,Albany ,,4,Surgical,31.55,4,Nights,,Albany Medical Center
1/18/2020 8:57:19,White Plains ,,1,Oncology ,44,6600,Nights,,Westchester Medical Center
1/18/2020 9:44:38,Rochester,,6,ER,35.7,2,"Evenings, nights, triage and charge shift differential ",,Urmc
1/18/2020 12:32:30,Syracuse ,,11,,39,5,Nights,,
1/18/2020 13:31:09,White Plains ,,0,Med surge ,43.79,47.79,Nights,,
1/18/2020 15:00:18,Brooklyn,,6,MDS,48,,,,
1/18/2020 15:58:22,Glens falls ,,10,Specialty but cant name it ,25,,Day ,,
1/18/2020 23:59:34,Long Island,,0,Med surg,42.6,,Days,,
1/19/2020 20:55:31,,,7,Peds ,36.66,,,,
1/22/2020 21:54:40,peekskill,,10,med/surg,47,,day,,
1/23/2020 15:56:44,11758,,1,Oncology ,41,,,,Mercy Medical Center
1/23/2020 16:30:19,New York,,1,Aesthetics,40,,n/a,,Skin Laundry
1/24/2020 11:07:19,Ithaca,,0,Telemetry ,30,,,,Cayuga Medical Center
1/24/2020 11:14:47,New York,,1,,50,3,Nights,,New York Presbyterian Columbia University 
1/24/2020 12:04:38,Manhasset,,1,Cardiac,48.79,2.5,Night,,
1/24/2020 15:38:11,Jamestown,,1,ICU,22.5,0.5,Nights,,UPMC Chautauqua
1/25/2020 5:48:49,Brooklyn ,,0,Pacu,46,,Day,,Surgicare of Brooklyn 
1/25/2020 5:50:03,,,,,,,,,
1/25/2020 9:32:22,Buffalo,,7,Mother Baby,40.63,1.8,Nights,,Sisters Hospital
1/25/2020 10:28:24,,,21,,37.08,7,Nights,,
1/26/2020 0:56:34,New York,,3,PICU ,50,,Days ,,
1/28/2020 13:45:24,Albany,,1.5,Medsurf ,27.54,,,,Albany Medical Center
1/29/2020 23:30:40,,,,,,,,,
1/29/2020 23:30:50,,,,,,,,,
1/30/2020 9:58:12,Queens,,2,ICF,34,,,,SCO Family is services 
1/30/2020 13:18:29,Johnson City ,,3,Med Surg,30.74,,Days ,,UHS Wilson
1/30/2020 18:35:44,Glen Cove,,2,Med-surg,47,3,,,Glen Cove Hospital
1/30/2020 18:35:47,Glen Cove,,2,Med-surg,47,3,,,Glen Cove Hospital
1/31/2020 14:18:00,Albany,,1,ICU,30,4,Evenings/Nights,,
1/31/2020 21:39:04,New York City,,13,PACU,66,6,Swing ,,Memorial Sloan Kettering Cancer 
2/2/2020 14:30:19,Lowville ,,2,Med-Surg ,31.48,1.98,,,
2/2/2020 20:50:31,Rochester,,2,Psychiatry,28,,"Eves, nights, weekend, charge",,Rochester regional health
2/2/2020 22:20:11,New york,,3.5,"Med surg, Geriatric ",50,,Days 12 hour ,,New york Presbyterian/ allen
2/3/2020 2:16:10,NYC,,0,Med Surg,45,3,Night,,
2/3/2020 7:50:36,Binghamton,,,L&D,28.6,5.72,,,
2/10/2020 1:52:30,,,,,,,,,
2/10/2020 1:53:13,,,,,,,,,
2/18/2020 10:46:01,nyc,,2,adult day care HIV ,45,,,,
2/18/2020 10:48:51,New Hyde Park,,3.5,ICU,49.1,,,,
2/18/2020 11:03:43,Binghamton ,,1,Surgical step down ,30.72,4.15,Nights ,,Wilson medical center 
2/18/2020 11:19:49,Binghamton ,,5,,33.75,,,,
2/18/2020 11:23:39,New york city,,4,Pediatric cardiology,51,,"Outpatient, full time 37 hrs per week",,New york presbyterian - columbia university medical center
2/18/2020 11:49:30,New Rochelle ,,5,Dialysis,37,2,10hrs ,,New York dialysis
2/18/2020 14:21:36,Albany,,2,Pp/l&d,30.98,4,Nights ,,
2/18/2020 15:28:26,Mount Kisco ,,9,OR,57.25,2.82,Night,,
2/18/2020 15:29:00,,,,,,,,,
2/18/2020 15:29:26,,,,,,,,,
2/18/2020 15:29:43,,,,,,,,,
2/18/2020 22:00:56,Brooklyn,,1,Medical-surgical,46,3.5,Nights ,,Wyckoff Heights Medical Center
2/19/2020 10:18:45,Flushing,,4,L&D,48.2,2.82,Nights,,
2/19/2020 12:08:39,Syracuse,,1,Medsurge ,28.8,3,"Evening, ($4 for night shift)",,
2/19/2020 12:09:08,Syracuse,,1,Medsurge ,28.8,3,"Evening, ($4 for night shift)",,
2/19/2020 14:15:44,Buffalo,,10,PACU ,41.66,,,,Roswell Park Comprehensive Cancer Center
2/19/2020 18:43:05,New york,,10,Orthopedics,56.1,5,Nights,,
2/19/2020 20:14:31,Syracuse ,,5,CVICU-NICU,32,5,Nights ,,
2/19/2020 22:27:48,,,,,,,,,
2/20/2020 15:39:43,"Albany, new york",,7,Trauma/SICU,35,4,Nights,,Amc 
2/20/2020 15:59:18,,,,,,,,,
2/21/2020 15:38:45,Brooklyn ,,1,School nurse ,35,,,,
2/23/2020 10:21:01,Albany,,1,Med surg,29.9,4,Nights ,,St.Peter’s
2/24/2020 19:52:53,Albany,,0,OR,29.6,,Days,,St Peters
2/24/2020 22:53:23,New York ,,3,NICU,52.69,,None,,Lenox Hill
2/24/2020 22:56:49,,,,,,,,,
2/24/2020 23:42:38,New York,,11,OB,58.44,3.077,Night,,NYP
2/24/2020 23:53:48,"Queens, NY",,,Med Surg,44,,,,
2/24/2020 23:55:39,Vestal,,7,Lpn,19.49,0.87,"Evening shift,  night shift,  and 50 cents/ hour on weekends",,Willow point nursing and rehabilitation 
2/24/2020 23:56:33,Rochester,,4,Med surg flex team,31.56,2,Nights,,Strong Memorial Hospital 
2/24/2020 23:59:36,"Queens, NY",,0.8,Med-Surg,44,,7a-7p day flex,,
2/25/2020 4:30:18,New york,,12,Cticu,56,3,Night,,Nyp
2/25/2020 5:25:12,Roslyn,,1,Med/surg,41,,,,St. Francis Hospital
2/25/2020 5:59:32,Buffalo,,28,Pediatrics,45,,,,
2/25/2020 7:54:33,New York,,9,PICU,61.52,3.08,Nights ,,New York - Presbyterian
2/25/2020 7:55:41,Albany,,7,Icu,32,,,,
2/25/2020 8:56:12,New York,,2,Medsurg tele,47.31,4.54,"Nights, BSN, experience diff",,Mt. Sinai
2/25/2020 9:02:58,Albany ,,1,Oncology,28.5,4,4/nights 11/weekends,,
2/25/2020 9:13:26,NYC,,6,ER,46,,,,
2/25/2020 9:14:52,Suffern,,0.5,Float,41.75,2,Float,,
2/25/2020 9:29:46,Albany ,,2.5,Family practice ,27.6,,Days 8-4,,
2/25/2020 11:00:43,Rome,,6,L&D ,33.5,1.5,“Critical care” pay for labor patients ,,
2/25/2020 13:36:12,New York,,1.5,Neuro SDU,51.8,3,Night,,New York Presbyterian Weill Cornell
2/25/2020 14:03:23,New York,,9,PICU,5,6,Experience + BSN + CCRN,,
2/25/2020 15:02:55,West islip,,2,Med surg ,41,4,,,
2/25/2020 15:40:55,NYC,,1,L&D,50.02,2.96,Night,,Mount Sinai
2/25/2020 17:26:00,Stony Brook,,0,NICU,28,2,Nights,,
3/31/2020 20:16:21,White Plains,,9,ED,50.7,3,Critical care shift differential ,,
3/31/2020 20:25:58,Long Island ,,3,OR,42,44,Days/eve,,
3/31/2020 20:52:28,Flushing ,,1,Med-surg ,46.02,,,,NYPQ
3/31/2020 21:00:45,Brooklyn ,,1,Pediatric ,36,,,,School nurse 
3/31/2020 21:19:24,Manhattan,,12,,53,,Nights,,
3/31/2020 22:17:59,New York City,,9,L&D,55,3.5,Nights,,New York Prebyterian
4/1/2020 0:14:20,New York,,3,ER,54,,12 hr day shifts,,NewYork-Presbyterian Morgan Stanley Children’s Hospital
4/1/2020 4:35:27,West isip,,14,Amb Surg,48,,8 hour days,,
4/1/2020 6:08:58,Middletown ,,3,Cardiac telemetry,42.65,2.45,Evening.  starts at 3pm,,
4/1/2020 7:18:31,Rochester,,0.75,Vascular surgery,27.5,1.25,Nights,,Rochester General Hospital
4/1/2020 7:29:13,New York ,,5,Critical Care ,60,,Days,,Mount Sinai
4/1/2020 8:07:06,Port jefferson,,1,Cardiac ,42,,,,
4/1/2020 9:45:31,Valhalla ,,1,Oncology ,44.5,6600,Nights,,Westchester Medical Center
4/1/2020 9:45:50,Valhalla ,,1,Oncology ,44.5,6600,Nights,,Westchester Medical Center
4/1/2020 12:55:51,New York City,,3,Oncology,51,,"Day, Outpatient",,Weill Cornell Hospital
4/1/2020 13:04:37,,,,,,,,,
4/1/2020 13:04:50,,,,,,,,,
4/1/2020 13:05:26,,,,,,,,,
4/1/2020 20:11:09,,,,,,,,,
4/1/2020 20:11:52,valley stream,,0,NA,,,NA,,NA
4/1/2020 20:13:22,,,,,,,,,
4/1/2020 20:14:41,,,,,,,,,
4/1/2020 20:17:15,Albany,,1,Dialysis ,28,1,Night,,Fresenius Kidney Care
4/1/2020 21:33:14,Queens ,,7,OR,52,,Days ,,
4/2/2020 6:46:53,New York ,,3,Med surg crisis rate on covid units,100,25,Nights,,
4/2/2020 13:50:23,New York City ,,0,Telemetry ,49.67,3.08,Nights ,,Lenox hill hospital 
4/2/2020 13:50:33,New York City ,,0,Telemetry ,49.67,3.08,Nights ,,Lenox hill hospital 
4/6/2020 1:37:14,,,,,,,,,
4/7/2020 19:49:08,Long Island,,22,MDS,41,,,,
4/8/2020 23:38:44,Huntington,,0.5,Med Surg,46.51,3.52,Nights,,Huntington Hospital
4/12/2020 15:17:38,,,,,,,,,
4/12/2020 15:17:46,,,,,,,,,
4/12/2020 15:18:39,,,,,,,,,
4/12/2020 15:18:53,,,,,,,,,
4/18/2020 2:18:15,New York City,,7,Oncology ,63,,Days,,New York Presbyterian Weill Cornell
4/26/2020 19:09:33,Middletown,,5,Float,43.33,1.75,Nights,,ORMC
4/26/2020 19:13:38,Brooklyn ,,3,Er,45,,Days,,NYP- Brooklyn Methodist 
4/26/2020 19:18:34,New York,,1.5,Mother Baby,53.5,,,,NYU Langone
4/26/2020 19:22:15,New York ,,5,Oncology ,54.51,,,,
4/26/2020 19:31:32,Valhalla ,,22,NICU and PACU ,58.82,,OT gets time and a half. Madandated gets 2x,,
4/26/2020 19:38:54,Rochester,,3,"Med surg, PCU. ",30,4.5,Nights ,,
4/26/2020 20:14:37,Westchester county ,,5,Peds ,33,,,,
4/26/2020 20:20:59,Rochester ,,6,NICU,30.5,1.2,"Nights, weekends",,Urmc
4/26/2020 20:41:39,Manhattan,,0,Psych/Community ,38.5,,M-F 7-3 DAY ,,
4/26/2020 21:24:08,Brooklyn ,,1,Med-surg,42.68,,Nights,,Brookdale 
4/26/2020 21:32:55,Queens,,5,Icu,50.36,2.8,Nights,,
4/26/2020 22:08:16,New York,,4,Transplant,53.69,2.8,,,
4/26/2020 23:03:55,NYC ,,1.5,Ccu,47.5,3,Nights,,
4/26/2020 23:05:38,"Rochester, NY",,3,Oncology ,29,,"Days only, no weekends ",,
4/26/2020 23:14:16,Bronx,,1.5,,81165,1,1,,City Hospital
4/26/2020 23:43:32,Bronx ,,3,Peritoneal Dialysis Home Therapies Nurse ,41,3,Night,,
4/27/2020 8:53:01,Port Jefferson ,,1,Mer-surg/telemetry,42,,Day,,
4/27/2020 9:03:46,Welland,,7,ER,34,,Days and nights,,
4/27/2020 9:04:10,Welland,,7,ER,34,,Days and nights,,
4/27/2020 18:58:31,,,,,,,,,
4/27/2020 18:59:08,,,,,,,,,
4/30/2020 23:03:55,Flushing,,1,med-surg,45.7,,,,New York Presbyterian Queens
5/3/2020 1:11:14,New york,,4,Neuro,42,,Days,,
5/3/2020 17:01:55,Rochester,,1,Advanced heart failure/LVAD/transplant ,26.5,1.75,"Nights, weekends",,Strong Memorial Hospital 
5/4/2020 22:20:12,New york,,,,50,,,,Mount sinai
5/7/2020 22:25:22,,,,,,,,,
5/7/2020 22:26:18,,,,,,,,,
5/7/2020 22:26:31,,,,,,,,,
5/9/2020 13:11:58,New Hyde Park,,4,ICU,50,,days,,
5/12/2020 0:58:17,stony brook,,2,oncology,35,,,,stony brook
5/13/2020 23:59:27,New York City ,,7,Pacu,55.77,,Day,,New York Presbyterian weill Cornell medical center
5/14/2020 0:03:06,,,,,,,,,
5/14/2020 0:05:02,Buffalo,,4.5,NICU,37.9,3.55,Night shift,,John R. O'Shei Children's Hospital
5/14/2020 0:08:10,Buffalo,,3,Geri,22,0.01,2,,Assisted living LPN
5/14/2020 0:09:38,Buffalo,,3,Psych,24,2,Nights,,Ecmc
5/14/2020 0:12:16,White Plains,,9,SURGICAL,50.7,2,,,
5/14/2020 0:38:34,NYC,,6,ER,52,,Days,,Mount Sinai 
5/14/2020 0:46:26,Yonkers,,0,ER,40,43,Mids CC,,
5/14/2020 0:51:26,Westchester ,,4,CARDIAC OPEN HEART OR,98000,50000,Call,,
5/14/2020 1:12:22,Westchester,,17,ER,67,6,4.5,,
5/14/2020 4:05:46,Rochester,,3,Psych,28.5,,Eves weekend nights,,
5/14/2020 4:16:38,"Albany, NY",,7,ICU,35,4,,,
5/14/2020 4:23:17,,,,,,,,,
5/14/2020 5:12:05,Port Jefferson,,1,Med Surge ,42,44,Evening ,,
5/14/2020 5:42:44,New York ,,6,OR nurse manager,63.38,,,,Lenox Hill Hospital 
5/14/2020 5:52:21,Rochester,,2,ICu,28.7,3,Nights ,,Unity Hospital 
5/14/2020 6:07:36,New York,,1,ED,50,3,Nights ,,Columbia New York Presbyterian
5/14/2020 6:10:59,New York,,2.5,Med Surg Tele,65.4,,Per Diem,,
5/14/2020 6:53:55,Nyc,,2,,53,4,Nights,,
5/14/2020 7:00:27,Mount Kisco,,40,Infusion oncology,49,,,,CareMount medical
5/14/2020 8:17:56,,,,,,,,,
5/14/2020 8:39:52,Bronx,,10,General Pediatrics,47,10,Nights,,Montefiore 
5/14/2020 9:49:26,New York City,,1,Telemetry,48.3,2,Night,,Long Island Jewish Medical Center
5/14/2020 12:16:00,Batavia,,0,Medical Surgical,26.5,,,,United Memorial Medical Center
5/14/2020 15:35:08,Rochester ,,2.5,Surgical Oncology - weekend contract,34.88,2,Nights ,,Strong Memorial Hospital 
5/14/2020 17:22:52,New York ,,3,Operating Room ,52,,,,NYU Langone
5/14/2020 21:49:32,Troy NY,,0,ICU ,29.68,5,Nights ,,Samaratin 
5/14/2020 22:12:21,Saranac Lake,,5,ICU and ER,32.56,2,Night,,Adirondack Health
5/14/2020 22:55:04,Syracyse,,1,ICU,31,5,Night,,
5/16/2020 21:40:00,Albany,,1,Dialysis ,28,1.25,Nights ,,Fresenius 
5/16/2020 21:40:48,Albany,,1,Dialysis ,28,1.25,Nights ,,Fresenius 
5/16/2020 21:41:12,Albany,,1,Dialysis ,28,1.25,Nights ,,Fresenius 
5/18/2020 20:23:50,New York ,,3,Float,50,3, Day,,NYP Weill cornell
5/18/2020 21:50:56,,,,,,,,,
5/18/2020 22:50:53,Syracuse ,,5,,32,470,Nights ,,Upstate University Hospital 
5/19/2020 19:47:15,New York City,,2,HIV,45,,,,ADHC (HIV)
5/22/2020 7:53:26,Warwick ,,2,Med Surge,34.95,,Day,,SACH
5/23/2020 17:15:37,New York city,,9,L&D,59,3,Nights,,Weill Cornell
5/23/2020 17:20:57,,,2,,41.25,,,,
5/23/2020 19:35:10,Queens,,5,Icu,50,1,Nights ,,
5/23/2020 23:38:25,New York ,,5,OR,53.27,,Day,,
5/23/2020 23:57:34,Queens,,9,Geriatric ,45,,Day shift,,
5/24/2020 15:07:22,Rochester,,1.5,Primary care clinic/FQHC,26.5,,,,
5/24/2020 21:06:52,New York,,3,Med-Surg,53,3.07,,,
5/24/2020 23:07:37,Rockville Centre ,,3,Er,42,4,Day,,Mercy
5/24/2020 23:07:58,Rockville Centre ,,3,Er,42,4,Day,,Mercy
5/24/2020 23:08:09,Rockville Centre ,,3,Er,42,4,Day,,Mercy
5/25/2020 0:34:31,Rochester,,9,L&D,30.5,2,Weekends,,
5/25/2020 10:47:15,Glen Oaks,,2,Psych,48,,12 hr Day Shift,,Zucker Hillside Hospital
5/28/2020 21:48:03,,,,,,,,,
6/5/2020 4:58:05,Long Island,,8,ICU,54.58,3.07,Nights ,,
6/5/2020 4:59:10,,,,,,,,,
6/5/2020 7:31:49,Nyack,,0,Physician office,38.46,,Day,,
6/19/2020 16:47:54,Port jefferson,,2,Tele,44,2,Nights,,Mather hospital 
6/19/2020 20:49:30,New York City,,4,Acute Rehabilitation,49.12,0.96,Evening,,NYU Langone Orthopedic Hospital
6/25/2020 14:38:53,New York,,16,ICU,60,3.5,"CCRN, MSN, Holistic nursing ",,
6/27/2020 16:35:17,New York City,,5,Ambulatory Surgery,50,2,Evening Diff,,New York Eye And Ear Infirmary of Mount Sinai
6/27/2020 20:44:00,Rochester ,,4,Icu,30,1.5,Cert  pay per hour ,,Highland 
6/27/2020 20:57:29,Buffalo,,0,CVICU,32.67,,Critical care nights,,
6/29/2020 1:16:03,New York city,,2,Cardiac tele ,50,3,Nights,,Lenox hill
7/4/2020 4:05:54,Brooklyn ,,3,Peritoneal Dialysis ,42,,,,Davita Kidney Carea
7/4/2020 4:09:45,Long Island ,,2,Med-Surg/Renal/Soft Tele Unit,47,50,Nights,,Northwell 
7/4/2020 4:14:10,Long Island ,,0,Psychiatric,41,45,Eve/nights,,Northwell Affiliate 
7/8/2020 18:20:10,Albany,,6,Rapid Response/Critical Care,33.9,,,,Albany Medical Center
